gene1,gene2,gene3,gene4,gene5,proteinA,adenocarcinoma
-4.2530704287451275,1060.8282737337454,0.7238659734568605,-183.19376646463024,899.8402960096198,absent,0
-9.394422452977363,745.8450123984717,1.1776092380042391,-348.18994389386717,-320.5210193446435,absent,1
-12.529502011934564,1210.9434215422596,0.3622420170896741,447.7044108734334,643.4890245520236,present,0
-8.676413885098844,1339.4633320427024,0.9372663448980074,397.3412317971034,837.0991090419327,absent,1
-2.4625545472841583,-148.8792285763584,1.5096193181933817,404.78687826316377,-1356.0399193256735,present,1
-8.106793147332558,,0.6039982855331939,-76.0547094955978,811.6652134571623,present,1
-10.305856059429301,,1.0072953253225434,183.709237900807,95.68949033909271,absent,1
-13.211851579252196,53.76358160258816,-0.8377156477247796,-177.72198058779796,-63884.24167870834,absent,0
-9.999770017806087,640.5712983920682,-0.6232088049726789,88.59757970709896,538.0769434386566,present,0
-11.02417696610443,1584.6339362256979,1.3262168799102905,289.8795465971721,-59599.747426270136,present,1
-10.98411247078869,1568.068920378815,0.7100309869756873,-304.9102552505832,1140.772218720181,absent,1
-8.292661632219827,1595.2667582189208,0.907560571315428,-698.1892928607335,-63896.580000594724,absent,1
-10.365236660290243,1348.214972274864,0.3719229800917273,138.5912571599921,1044.395075937979,absent,1
-5.418679839072422,807.5426913622138,0.6965487155324644,10.194549305409435,-56563.78439148909,absent,1
-10.177992018806957,1295.07102057501,1.0082326509633988,-371.4868170745769,593.8906796955507,absent,1
-6.108593787097664,1570.3872058140744,0.3175878973265229,86.02442655318335,-45792.69150433477,absent,1
-11.860785484081983,920.551886890997,1.6932073555507807,254.224724170929,-562.2541638381742,present,1
-4.2245060628654745,1071.6148580972895,1.0456606884455921,-175.73760069762292,726.6837877432467,absent,1
-9.234949073675141,297.2742194784201,-1.4544851289445102,-221.18044824089225,552.0459428523768,present,0
-6.10075377890936,,0.04692451027093403,157.24128013151991,2146.9586212855397,present,0
-5.5866785895596704,935.3524425954516,-0.454952300760889,353.6218891029085,1290.3645863361355,present,0
-7.026627570037053,92.46257591099359,-1.3849304041760901,396.2299924774667,372.4731633262101,absent,0
-8.826943141573306,154.73799180600113,-1.2654794513533556,67.18875617465224,245.43107204410808,present,0
-3.9235343303974033,863.3101240482727,0.038754130007242926,-135.30456841689258,1022.3397477241592,present,1
-12.437207983951865,1035.4278330517188,0.9575529074416524,93.11698292866852,-45652.44503204351,present,1
-9.913669551054577,1356.0305740101687,0.8358196379287308,86.84806043372767,817.7687245424306,absent,1
1.6607604205419555,775.1004061505718,-0.11228685400436143,144.9649920269999,1453.087448726723,present,1
-5.136368242883926,1022.0198789522659,0.4306003497184295,215.92991262774711,937.2580048876372,absent,0
-9.383437765602306,1305.698902920473,0.06714153828220415,-301.9548563678245,1243.6245699339954,absent,1
-11.555129369040847,1872.4429375924506,0.4884899515426654,518.5466129636537,1712.2710548113766,absent,1
-3.864793303913401,430.9377714221248,1.1784959669195654,-186.49920693422402,-348.9795313898505,present,1
-9.667207546527157,936.2479764075099,1.4922300611377364,-229.09711993860446,-227.4277748806046,present,1
-6.670653764941019,1559.273799421581,0.2802025341322555,71.30483888253475,1756.3558963415314,absent,1
-6.563923254796599,985.48914227113,0.3647969386672967,-283.1258050927526,795.0278973862872,present,1
-5.642827298947776,1602.717040370937,0.3919783265820492,-755.1482718765128,1847.63356328167,absent,1
-6.80627987967016,922.88794497777,0.9657608907543322,-101.18969195189129,313.5019423380909,absent,1
-10.56301150217164,1127.3897180726026,1.6590574390887247,276.66453519420946,-98.2811248923271,present,0
-19.83594154157584,177.90422030826142,-0.7471177299626811,-227.5752868632048,-977.6338526638356,absent,0
-3.0843324707609594,765.5054584883037,-0.6426961816740907,440.3430011047805,1346.4475015023113,present,0
-4.229358415313474,890.5159611075928,1.0372060180945268,-206.42130356035327,441.0187463895478,absent,1
-8.175568358870501,1705.8699169527,-0.4216448587243173,-298.2552404062922,2282.3200211224544,present,1
-7.4362950153664285,,1.1350555365176092,-162.928265471492,155.63482566450716,present,1
-8.04570722587499,1716.1381281584095,0.0010458699496320722,330.9158658332658,2056.5828482198363,present,1
-11.06103693334321,2140.9391695345325,-0.2563523406824595,473.06136866473474,2631.825754180552,present,1
-3.8433752656123454,1130.9376485330088,-0.09914595057546204,258.3232712004264,1540.949058854473,present,0
-16.358135168824624,1735.7180877766625,0.7576258699831425,-206.4656667165541,917.520978222671,absent,1
-14.141664095588641,1797.2387246937694,0.33262742522330485,6.6769417132182145,1462.0796329023506,absent,1
